Objects, 1
Object:, First Vertice:, Vertices:, First Triangle:, Triangles:
Cylinder, 1, 34, 1, 98, none

Vertices, 34
Vertice:, X:, Y:, Z:
1, -0.029232298489660025, -2.0087174051441252, -1.023262906819582
2, -0.011611648835241795, -2.0137483009602875, -1.0223891474306583
3, 0.011407652869820595, -2.008717404678464, -0.979322973638773
4, 0.00036900676786899567, -2.0137483014259487, -1.0157126244157553
5, -0.000583987683057785, -2.0087174042128026, -1.0164947286248207
6, 0.006697535514831543, -2.013748300727457, -1.008380426093936
7, 0.011407671496272087, -2.0137483009602875, -0.9985479060560465
8, 0.01251244731247425, -2.008717404678464, -0.9929937915876508
9, 0.012512439861893654, -2.013748301193118, -0.9848770834505558
10, 0.008301544934511185, -2.0087174049112946, -1.0060467794537544
11, 0.0083015076816082, -2.0137483014259487, -0.971824100241065
12, 0.005155377089977264, -2.0087174051441252, -0.9671155847609043
13, -0.0005840342491865158, -2.0137483009602875, -0.9613761752843857
14, -0.005292540416121483, -2.008717405376956, -0.9582300540059805
15, -0.009009987115859985, -2.013748301193118, -0.9565996825695038
16, -0.019572470569983125, -2.013748301193118, -0.9538982883095741
17, -0.018345495220273733, -2.0087174044456333, -0.9540191330015659
18, -0.03319614753127098, -2.0137483014259487, -0.9554817900061607
19, -0.03201631084084511, -2.0087174051441252, -0.9551238901913166
20, -0.04517680965363979, -2.0137483016587794, -0.9621583130210638
21, -0.0442237164825201, -2.0087174044456333, -0.9613761343061924
22, -0.05369050242006779, -2.0137483014259487, -0.9729114193469286
23, -0.05310927331447601, -2.008717404678464, -0.9718240294605494
24, -0.057441091164946556, -2.013748301193118, -0.9861040452960879
25, -0.057320231571793556, -2.008717404678464, -0.9848769772797823
26, -0.05585758201777935, -2.013748301193118, -0.9997277185320854
27, -0.05621551163494587, -2.008717404678464, -0.9985477859154344
28, -0.04918106086552143, -2.013748300727457, -1.0117083732038736
29, -0.049963295459747314, -2.0087174049112946, -1.0107552148401737
30, -0.03842795267701149, -2.0137483014259487, -1.020222071558237
31, -0.039515430107712746, -2.0087174042128026, -1.0196407958865166
32, -0.025235294364392757, -2.013748300727457, -1.0239726603031158
33, -0.022403845255393406, -2.0087174049112946, -1.0239354707300663
34, -0.012791403569281101, -2.008717404678464, -1.0227470248937607

Triangles, 49
Triangle:, Side1:, Side2:, Side3:
1, 5, 34, 33
2, 16, 17, 19
3, 22, 23, 25
4, 28, 29, 31
5, 32, 1, 33
6, 9, 3, 11
7, 5, 8, 10
8, 15, 17, 16
9, 5, 3, 8
10, 20, 21, 23
11, 5, 12, 3
12, 16, 19, 18
13, 5, 14, 12
14, 18, 19, 21
15, 5, 17, 14
16, 20, 23, 22
17, 5, 19, 17
18, 24, 27, 26
19, 5, 21, 19
20, 22, 25, 24
21, 5, 23, 21
22, 24, 25, 27
23, 5, 25, 23
24, 26, 27, 29
25, 5, 27, 25
26, 28, 31, 30
27, 5, 29, 27
28, 30, 1, 32
29, 5, 31, 29
30, 31, 1, 30
31, 5, 1, 31
32, 33, 1, 5
33, 32, 33, 34
34, 32, 34, 2
35, 18, 21, 20
36, 15, 14, 17
37, 2, 34, 5
38, 2, 5, 4
39, 11, 12, 13
40, 13, 12, 14
41, 4, 5, 10
42, 4, 10, 6
43, 11, 3, 12
44, 6, 10, 7
45, 7, 10, 8
46, 13, 14, 15
47, 26, 29, 28
48, 7, 8, 9
49, 9, 8, 3

Colors, 49
Triangle:, Red:, Green:, Blue:
1, 38, 34, 204
2, 38, 34, 204
3, 38, 34, 204
4, 38, 34, 204
5, 38, 34, 204
6, 38, 34, 204
7, 38, 34, 204
8, 38, 34, 204
9, 38, 34, 204
10, 38, 34, 204
11, 38, 34, 204
12, 38, 34, 204
13, 38, 34, 204
14, 38, 34, 204
15, 38, 34, 204
16, 38, 34, 204
17, 38, 34, 204
18, 38, 34, 204
19, 38, 34, 204
20, 38, 34, 204
21, 38, 34, 204
22, 38, 34, 204
23, 38, 34, 204
24, 38, 34, 204
25, 38, 34, 204
26, 38, 34, 204
27, 38, 34, 204
28, 38, 34, 204
29, 38, 34, 204
30, 38, 34, 204
31, 38, 34, 204
32, 38, 34, 204
33, 38, 34, 204
34, 38, 34, 204
35, 38, 34, 204
36, 38, 34, 204
37, 38, 34, 204
38, 38, 34, 204
39, 38, 34, 204
40, 38, 34, 204
41, 38, 34, 204
42, 38, 34, 204
43, 38, 34, 204
44, 38, 34, 204
45, 38, 34, 204
46, 38, 34, 204
47, 38, 34, 204
48, 38, 34, 204
49, 38, 34, 204

Textures, 0
UV Map Id:, Texture Wrapping, Texture_Path

UVMaps, 0
Triangle:, UV Map Id:, vector1_uv_x, vector1_uv_y, vector2_uv_x, vector2_uv_y, vector3_uv_x, vector3_uv_x
