Objects, 1
Object:, First Vertice:, Vertices:, First Triangle:, Triangles:
Circle.005, 1, 63, 1, 112

Vertices, 63
Vertice:, X:, Y:, Z:
1, -0.8532261177897453, 2.129998207092285, -1.444138940423727
2, 0.8074190691113472, 2.1299972534179688, -1.4441388435661793
3, 0.8074178770184517, 1.7389440536499023, -1.44413897767663
4, -0.8532269522547722, 1.7389440536499023, -1.444138739258051
5, -1.6835489198565483, 1.915687084197998, -1.444138739258051
6, 1.6377409771084785, 1.9156866073608398, -1.4441388808190823
7, -0.728678397834301, 1.9532556533813477, -0.6202259659767151
8, 0.682869978249073, 1.9532556533813477, -0.6202259659767151
9, -0.7909529730677605, 1.7897686958312988, -0.8148331046104431
10, 0.7451434209942818, 1.7897686958312988, -0.8148331046104431
11, 0.7451448515057564, 2.1167421340942383, -0.8148331642150879
12, -0.7909521386027336, 2.1167421340942383, -0.8148331642150879
13, 1.5131926611065865, 1.9532556533813477, -0.8148331046104431
14, -1.5590009614825249, 1.9532556533813477, -0.8148331046104431
15, -0.8532260581851006, 2.129998207092285, -1.8281230032444
16, 0.8074189499020576, 2.129997730255127, -1.828122854232788
17, 0.8074181154370308, 1.7120890617370605, -1.8281225860118866
18, -0.8532268330454826, 1.7120890617370605, -1.8281225860118866
19, -1.6835489198565483, 1.8888320922851562, -1.828122854232788
20, 1.6377409771084785, 1.8888320922851562, -1.8281228244304657
21, -0.02290352713316679, 2.129998207092285, -1.444138940423727
22, -0.0229045320302248, 1.757728099822998, -1.4441387206315994
23, -1.4759681150317192, 2.076420307159424, -1.4441387727856636
24, -1.4759684726595879, 1.7643461227416992, -1.4441389851272106
25, 1.4301608875393867, 2.0764198303222656, -1.4441389106214046
26, 1.4301596954464912, 1.7643461227416992, -1.4441389851272106
27, -0.022904192097485065, 1.9532556533813477, -0.6202259659767151
28, -0.02290473598986864, 1.7897686958312988, -0.8148331046104431
29, -0.022903594188392162, 2.1167421340942383, -0.8148331642150879
30, -0.7442472502589226, 1.8372678756713867, -0.6688778400421143
31, 0.6984380558133125, 1.8372678756713867, -0.6688778400421143
32, 0.6984390690922737, 2.069242477416992, -0.6688778400421143
33, -0.74424659460783, 2.069242477416992, -0.6688778400421143
34, -0.8376576825976372, 2.1266841888427734, -1.0694631040096283
35, 0.7918505147099495, 2.1266841888427734, -1.0694631040096283
36, -0.8376585766673088, 1.770434856414795, -1.0694630444049835
37, 0.7918492034077644, 1.7704343795776367, -1.0694631040096283
38, 1.243337757885456, 1.9532556533813477, -0.6688778400421143
39, 1.321179874241352, 1.8306407928466797, -0.8148330450057983
40, -1.3669890090823174, 1.8306407928466797, -0.8148330450057983
41, -1.289146177470684, 1.9532556533813477, -0.6688778400421143
42, -1.3669886514544487, 2.0758705139160156, -0.8148331642150879
43, 1.3211810663342476, 2.0758705139160156, -0.8148331642150879
44, -1.6524121686816216, 1.943863868713379, -1.0694629848003387
45, 1.6066037490963936, 1.9438629150390625, -1.0694631338119507
46, -0.02290351130068302, 2.129998207092285, -1.8281229734420776
47, -0.02290435414761305, 1.7443013191223145, -1.828122854232788
48, -1.4759679958224297, 2.069706439971924, -1.8281228244304657
49, -1.4759684726595879, 1.7240633964538574, -1.8281228840351105
50, 1.4301607683300972, 2.0697059631347656, -1.8281229436397552
51, 1.43016005307436, 1.7240633964538574, -1.8281228840351105
52, -0.022904599085450172, 1.8372678756713867, -0.6688778400421143
53, -0.022903770208358765, 2.069242477416992, -0.6688778400421143
54, -0.022903554141521454, 2.1266837120056152, -1.0694630146026611
55, -0.022904681973159313, 1.7751312255859375, -1.0694631040096283
56, 1.1234026029706001, 2.041135787963867, -0.7067180871963501
57, 1.1234017685055733, 1.8653755187988281, -0.7067182064056396
58, -1.169210784137249, 1.8653755187988281, -0.7067182064056396
59, -1.1692104265093803, 2.041135787963867, -0.7067180871963501
60, -1.448723427951336, 2.080979347229004, -1.069463163614273
61, -1.448723904788494, 1.809096336364746, -1.0694630444049835
62, 1.4029147699475288, 1.8090953826904297, -1.0694630146026611
