Objects, 1
Object:, First Vertice:, Vertices:, First Triangle:, Triangles:
Cube.001, 1, 9, 1, 10

Vertices, 9
Vertice:, X:, Y:, Z:
1, -1.0423667337745428, -2.0067276852205396, -1.1751661403104663
2, -1.0423667337745428, -2.030371674336493, -1.1751661403104663
3, -1.0710952412337065, -2.0303716734051704, -1.1751661403104663
4, -1.071095235645771, -2.010371670126915, -1.1751661403104663
5, -1.0562795419991018, -2.0203716762363912, -1.1480255015194416
6, -1.071095235645771, -2.010371670126915, -1.1751661403104663
7, -1.0710952412337065, -2.0303716734051704, -1.1751661403104663
8, -1.0423667337745428, -2.030371674336493, -1.1751661403104663
9, -1.0423667337745428, -2.0067276852205396, -1.1751661403104663

Triangles, 6
Triangle:, Side1:, Side2:, Side3:
1, 1, 5, 2
2, 2, 5, 3
3, 3, 5, 4
4, 5, 1, 4
5, 9, 8, 7
6, 9, 7, 6

Colors, 6
Triangle:, Red:, Green:, Blue:
1, 204, 204, 204
2, 204, 204, 204
3, 204, 204, 204
4, 204, 204, 204
5, 204, 204, 204
6, 204, 204, 204

Textures, 0
UV Map Id:, Texture_Path

UVMaps, 0
Triangle:, UV Map Id:, vector1_uv_x, vector1_uv_y, vector2_uv_x, vector2_uv_y, vector3_uv_x, vector3_uv_x
