Objects, 1
Object:, First Vertice:, Vertices:, First Triangle:, Triangles:
Cylinder.003, 1, 56, 1, 156, none

Vertices, 56
Vertice:, X:, Y:, Z:
1, 1.8291580444201827, -2.4182628858834505, -1.2615997791290283
2, -1.8719390630722046, 0.295123815536499, 1.3880620002746582
3, -1.9068635702133179, -2.451607944443822, 1.2253161072731018
4, -1.8764761686325073, -2.4251771243289113, -1.2615997791290283
5, 1.8149744272232056, -2.4276076862588525, -1.2615997791290283
6, -1.9104136228561401, 0.2924313545227051, 1.3880620002746582
7, 1.8232269529253244, -0.26612401008605957, -1.2615997791290283
8, -1.8764761686325073, -2.45216559804976, 1.2253161072731018
9, 1.8315953016281128, -2.4314723960123956, 1.2253161072731018
10, 1.8507313262671232, -0.2829549312591553, -1.2615997791290283
11, 1.8415277125313878, -2.420292876660824, 1.2253161072731018
12, -1.910211205482483, -0.29066967964172363, -1.2615997791290283
13, 1.812400283291936, -0.2615642547607422, -1.231873631477356
14, 1.8143170569092035, -2.449236201122403, -1.2615997791290283
15, -1.896269679069519, -2.4591373335570097, -1.2615997791290283
16, -1.8849414587020874, -2.4191608019173145, 1.2253161072731018
17, 1.8321809587068856, -2.459517752751708, -1.2615997791290283
18, 1.8507313318550587, 0.295123815536499, 1.3880620002746582
19, -1.8910750150680542, -0.28681230545043945, -1.2615997791290283
20, 1.8315953016281128, -0.28681230545043945, -1.2615997791290283
21, -1.910269856452942, -0.2924034595489502, -1.2492512464523315
22, 1.8508888240903616, -2.4372325483709574, 1.2253161072731018
23, 1.846885739825666, -2.451269186101854, -1.2615997791290283
24, -1.908957600593567, -2.4301184453070164, 1.2253161072731018
25, 1.8507820069789886, -2.436078916536644, -1.2615997791290283
26, -1.9068635702133179, -2.425734764896333, -1.2615997791290283
27, -1.8719478845596313, -2.4381649605347775, -1.2615997791290283
28, 1.8507902976125479, -2.4250819766893983, 1.211584985256195
29, 1.8507904279977083, -0.3300485610961914, -1.2661844491958618
30, 1.8232267703860998, 0.2782933712005615, 1.3880620002746582
31, 1.8434389671310782, -2.4224072583019733, -1.2615997791290283
32, -1.897955060005188, -2.4196814242750406, 1.2253161072731018
33, 1.839963967911899, 0.3196694850921631, 1.3880620002746582
34, 1.822962213307619, -2.42026205919683, 1.2253161072731018
35, -1.899443507194519, -0.26612401008605957, -1.2615997791290283
36, -1.889722466468811, -2.41814929433167, -1.2615997791290283
37, -1.8718339204788208, -2.433146873023361, 1.2253161072731018
38, 1.8118313234299421, -2.4359438689425588, 1.2253161072731018
39, -1.8718801736831665, -0.30228710174560547, -1.2565970420837402
40, -1.8718801736831665, -2.4014818891882896, 1.2165427803993225
41, -1.8910750150680542, -2.4314723960123956, 1.2253161072731018
42, 1.812459271401167, 0.3028388023376465, 1.3880620002746582
43, -1.8827062845230103, -0.30750060081481934, -1.2615997791290283
44, -1.8827062845230103, 0.3196694850921631, 1.3880620002746582
45, -1.8719390630722046, -0.2829549312591553, -1.2615997791290283
46, 1.818909247405827, -2.4542000871151686, 1.2253161072731018
47, -1.8768032789230347, -2.4529719362035394, -1.2615997791290283
48, -1.889722228050232, -2.4591933768242598, 1.2253161072731018
49, -1.9094175100326538, -2.4451951198279858, -1.2615997791290283
50, 1.8329480127431452, -2.4591934345662594, 1.2253161072731018
51, 1.8124592807143927, -0.29066967964172363, -1.2615997791290283
52, 1.8399638226255774, -0.30750060081481934, -1.2615997791290283
53, 1.8124000895768404, -2.4349655092228204, 1.2042392492294312
54, 1.846194377169013, -2.45216525439173, 1.2253161072731018
55, -1.910269856452942, -2.4455312830395997, 1.17041015625
56, -1.910269856452942, -2.4455312830395997, 1.17041015625

Triangles, 78
Triangle:, Side1:, Side2:, Side3:
1, 8, 48, 3
2, 22, 34, 11
3, 21, 55, 39
4, 13, 28, 53
5, 10, 18, 33
6, 47, 37, 27
7, 26, 32, 24
8, 47, 49, 15
9, 47, 27, 4
10, 22, 38, 34
11, 30, 33, 18
12, 17, 46, 50
13, 21, 40, 55
14, 11, 1, 31
15, 1, 5, 14
16, 23, 54, 22
17, 26, 24, 49
18, 29, 28, 13
19, 17, 54, 23
20, 27, 37, 4
21, 14, 46, 17
22, 22, 46, 38
23, 35, 6, 12
24, 25, 11, 31
25, 39, 55, 40
26, 29, 53, 28
27, 1, 14, 17
28, 23, 22, 25
29, 15, 48, 47
30, 22, 50, 46
31, 51, 30, 52
32, 47, 4, 36
33, 36, 16, 32
34, 43, 6, 2
35, 12, 43, 45
36, 10, 7, 51
37, 1, 17, 23
38, 22, 54, 50
39, 30, 42, 33
40, 7, 33, 42
41, 47, 26, 49
42, 8, 32, 16
43, 47, 48, 8
44, 49, 24, 3
45, 1, 23, 25
46, 10, 51, 52
47, 49, 3, 15
48, 4, 16, 36
49, 4, 37, 16
50, 13, 53, 29
51, 51, 42, 30
52, 35, 44, 6
53, 1, 25, 31
54, 14, 38, 46
55, 6, 44, 2
56, 10, 33, 7
57, 45, 44, 35
58, 36, 32, 26
59, 47, 36, 26
60, 7, 42, 51
61, 25, 22, 11
62, 52, 18, 10
63, 12, 45, 35
64, 8, 16, 37
65, 1, 11, 34
66, 47, 8, 37
67, 5, 38, 14
68, 8, 3, 24
69, 12, 6, 43
70, 1, 34, 5
71, 52, 30, 18
72, 39, 40, 21
73, 5, 34, 38
74, 45, 2, 44
75, 43, 2, 45
76, 15, 3, 48
77, 8, 24, 32
78, 17, 50, 54

Colors, 78
Triangle:, Red:, Green:, Blue:
1, 1, 1, 1
2, 1, 1, 1
3, 1, 1, 1
4, 1, 1, 1
5, 1, 1, 1
6, 1, 1, 1
7, 1, 1, 1
8, 1, 1, 1
9, 1, 1, 1
10, 1, 1, 1
11, 1, 1, 1
12, 1, 1, 1
13, 1, 1, 1
14, 1, 1, 1
15, 1, 1, 1
16, 1, 1, 1
17, 1, 1, 1
18, 1, 1, 1
19, 1, 1, 1
20, 1, 1, 1
21, 1, 1, 1
22, 1, 1, 1
23, 1, 1, 1
24, 1, 1, 1
25, 1, 1, 1
26, 1, 1, 1
27, 1, 1, 1
28, 1, 1, 1
29, 1, 1, 1
30, 1, 1, 1
31, 1, 1, 1
32, 1, 1, 1
33, 1, 1, 1
34, 1, 1, 1
35, 1, 1, 1
36, 1, 1, 1
37, 1, 1, 1
38, 1, 1, 1
39, 1, 1, 1
40, 1, 1, 1
41, 1, 1, 1
42, 1, 1, 1
43, 1, 1, 1
44, 1, 1, 1
45, 1, 1, 1
46, 1, 1, 1
47, 1, 1, 1
48, 1, 1, 1
49, 1, 1, 1
50, 1, 1, 1
51, 1, 1, 1
52, 1, 1, 1
53, 1, 1, 1
54, 1, 1, 1
55, 1, 1, 1
56, 1, 1, 1
57, 1, 1, 1
58, 1, 1, 1
59, 1, 1, 1
60, 1, 1, 1
61, 1, 1, 1
62, 1, 1, 1
63, 1, 1, 1
64, 1, 1, 1
65, 1, 1, 1
66, 1, 1, 1
67, 1, 1, 1
68, 1, 1, 1
69, 1, 1, 1
70, 1, 1, 1
71, 1, 1, 1
72, 1, 1, 1
73, 1, 1, 1
74, 1, 1, 1
75, 1, 1, 1
76, 1, 1, 1
77, 1, 1, 1
78, 1, 1, 1

Textures, 0
UV Map Id:, Texture Wrapping, Texture_Path

UVMaps, 0
Triangle:, UV Map Id:, vector1_uv_x, vector1_uv_y, vector2_uv_x, vector2_uv_y, vector3_uv_x, vector3_uv_x
