Objects, 1
Object:, First Vertice:, Vertices:, First Triangle:, Triangles:
Cylinder, 1, 66, 1, 192

Vertices, 66
Vertice:, X:, Y:, Z:
1, -0.022403901442885392, -2.013748297933489, -0.8973179198801517
2, -0.015575739555060863, -2.0137482990976423, -0.8966454081237316
3, -0.009009979665279388, -2.0137482983991504, -0.8946537040174007
4, -0.002958940342068672, -2.013748298631981, -0.8914193566888571
5, 0.002344835549592972, -2.013748299330473, -0.8870666585862637
6, 0.006697539240121841, -2.013748300028965, -0.8817628789693117
7, 0.009931882843375206, -2.0137483002617955, -0.8757118405774236
8, 0.011923583224415779, -2.013748300727457, -0.8691460825502872
9, 0.012596098706126213, -2.013748301193118, -0.8623179225603435
10, 0.011923583224415779, -2.01374830189161, -0.8554897624999285
11, 0.009931882843375206, -2.0137483023572713, -0.8489240044727921
12, 0.006697539240121841, -2.013748302590102, -0.8428729604929686
13, 0.002344835549592972, -2.013748303987086, -0.8375691827386618
14, -0.0029589440673589706, -2.013748303987086, -0.8332164790481329
15, -0.00900998618453741, -2.0137483042199165, -0.8299821317195892
16, -0.015575747936964035, -2.0137483042199165, -0.827990435063839
17, -0.02240391284733345, -2.013748303987086, -0.8273179158568382
18, -0.029232077300548553, -2.013748303754255, -0.827990435063839
19, -0.0357978381216526, -2.013748303754255, -0.8299821428954601
20, -0.04184887744486332, -2.013748303987086, -0.8332164920866489
21, -0.04715265706181526, -2.0137483030557632, -0.8375691957771778
22, -0.051505353301763535, -2.0137483030557632, -0.8428729828447104
23, -0.0547396969050169, -2.0137483023572713, -0.8489240249618888
24, -0.056731393560767174, -2.01374830189161, -0.8554897885769606
25, -0.05740390159189701, -2.0137483014259487, -0.8623179537775485
26, -0.05673138238489628, -2.013748300727457, -0.8691461174748838
27, -0.05473967082798481, -2.013748300028965, -0.875711876899004
28, -0.05150531604886055, -2.0137482997961342, -0.8817629162222147
29, -0.04715260677039623, -2.013748299330473, -0.8870666902512312
30, -0.04184882156550884, -2.0137482990976423, -0.8914193846285343
31, -0.035797775723040104, -2.0137482981663197, -0.8946537226438522
