Objects, 1
Object:, First Vertice:, Vertices:, First Triangle:, Triangles:
Cube, 1, 15, 1, 16

Vertices, 15
Vertice:, X:, Y:, Z:
1, -0.04698691212209383, -5.579499708879098, 0.23828816413879395
2, -0.04698692708060537, -5.5794997215271, -2.2544567584991455
3, -0.04698693007230841, -5.579499729959102, -3.5008292198181152
4, -0.04698690613868983, -5.579499704663098, 1.4846606254577637
5, 0.09447856992483139, -5.438034221529961, -2.2544567584991455
6, -0.18845245987176895, -5.438034161925316, 0.23828816413879395
7, -0.18845241516828537, -5.720965221524239, -2.2544567584991455
8, 0.09447861462831497, -5.720965251326561, 0.23828816413879395
9, -0.04698692408890315, -5.579499714149099, -1.0080842971801758
10, 0.12984492629766464, -5.544133383780718, -3.1892361640930176
11, -0.22381878644227982, -5.614866077899933, -3.1892361640930176
12, -0.2238188460469246, -5.5441332794725895, 1.173067569732666
13, 0.1298450157046318, -5.614866137504578, 1.173067569732666
14, -0.04698691907766417, -5.367301434278488, -1.0080842971801758
15, -0.046986933867227965, -5.79169799387455, -1.0080842971801758

Triangles, 16
Triangle:, Side1:, Side2:, Side3:
1, 1, 4, 12
2, 1, 12, 6
3, 1, 6, 14
4, 1, 14, 9
5, 1, 9, 15
6, 1, 15, 8
7, 1, 8, 13
8, 1, 13, 4
9, 2, 9, 14
10, 2, 14, 5
11, 2, 5, 10
12, 2, 10, 3
13, 2, 3, 11
14, 2, 11, 7
15, 2, 7, 15
16, 2, 15, 9

Colors, 16
Triangle:, Red:, Green:, Blue:
1, 92, 92, 92
2, 92, 92, 92
3, 92, 92, 92
4, 92, 92, 92
5, 92, 92, 92
6, 92, 92, 92
7, 92, 92, 92
8, 92, 92, 92
9, 92, 92, 92
10, 92, 92, 92
11, 92, 92, 92
12, 92, 92, 92
13, 92, 92, 92
14, 92, 92, 92
15, 92, 92, 92
16, 92, 92, 92

Textures, 0
UV Map Id:, Texture Wrapping, Texture_Path

UVMaps, 0
Triangle:, UV Map Id:, vector1_uv_x, vector1_uv_y, vector2_uv_x, vector2_uv_y, vector3_uv_x, vector3_uv_x
