Objects, 1
Object:, First Vertice:, Vertices:, First Triangle:, Triangles:
Circle.007, 1, 33, 1, 64

Vertices, 33
Vertice:, X:, Y:, Z:
1, -0.04698708696589904, -5.579499154280484, 1.3377588987350464
2, 0.48870057612657547, -5.579499156259374, 1.2849982976913452
3, 1.0038019493222237, -5.579499122244613, 1.1287437677383423
4, 1.4785220697522163, -5.579499188102602, 0.8750008344650269
5, 1.894617684185505, -5.579499191209948, 0.5335197448730469
6, 2.2360991314053535, -5.579499367883727, 0.1174241304397583
7, 2.489842064678669, -5.579499413566509, -0.3572959899902344
8, 2.646096594631672, -5.579499381063556, -0.8723974823951721
9, 2.698856957256794, -5.5794994347712645, -1.4080848821036511
10, 2.646096594631672, -5.579499461431141, -1.9437724947929382
11, 2.489842064678669, -5.57949958526217, -2.4588736295700073
12, 2.2360991314053535, -5.5794996237137084, -2.9335941076278687
13, 1.894617684185505, -5.579499529866325, -3.349690079689026
14, 1.4785220697522163, -5.5794995925783155, -3.6911710500717163
15, 1.0038014724850655, -5.579499609058253, -3.94491446018219
16, 0.48869986087083817, -5.579499575043471, -4.101168990135193
17, -0.046987981675442825, -5.579499591484847, -4.153929114341736
18, -0.5826757475733757, -5.579499589505943, -4.101168513298035
19, -1.0977772399783134, -5.579499588605117, -3.9449139833450317
20, -1.5724974796175957, -5.579499537209571, -3.691170334815979
21, -1.9885932132601738, -5.579499499186625, -3.34968900680542
22, -2.3300741836428642, -5.579499582807443, -2.933592677116394
23, -2.5838171169161797, -5.579499551587148, -2.458872079849243
24, -2.7400711700320244, -5.579499472020899, -1.9437703490257263
25, -2.7928310558199883, -5.57949943477098, -1.4080824380245076
26, -2.740070216357708, -5.579499379929075, -0.8723947405815125
27, -2.583815209567547, -5.57949939135861, -0.35729336738586426
28, -2.330071322619915, -5.579499370364886, 0.11742699146270752
29, -1.9885892793536186, -5.579499203917692, 0.5335222482681274
30, -1.5724933072924614, -5.579499211036932, 0.8750029802322388
31, -1.0977723523974419, -5.579499165632001, 1.128745436668396
32, -0.5826705619692802, -5.579499135806259, 1.2849990129470825
33, -0.046986815936890025, -5.57949940899033, -1.4080842911737506

Triangles, 32
Triangle:, Side1:, Side2:, Side3:
1, 32, 1, 33
2, 32, 31, 33
3, 31, 30, 33
4, 30, 29, 33
5, 29, 28, 33
