Objects, 1
Object:, First Vertice:, Vertices:, First Triangle:, Triangles:
Circle.014, 1, 117, 1, 246

Vertices, 117
Vertice:, X:, Y:, Z:
1, 1.7921005487442017, -2.2095580101013184, -2.0094399452209473
2, -1.8558740615844727, -2.2095093727111816, -2.0094407200813293
3, -1.8558740615844727, -2.2099709510803223, -3.6504772901535034
4, 1.7921005487442017, -2.2104334831237793, -3.650476574897766
5, 1.78218412399292, -2.0853123664855957, -2.009440064430237
6, 0.6661204695701599, -2.0853123664855957, -0.7209280431270599
7, -0.7298965454101562, -2.0853123664855957, -0.7209285795688629
8, -1.8558740615844727, -2.0853123664855957, -1.412264809012413
9, -0.03188680484890938, -2.0853123664855957, -0.6639677882194519
10, -0.38772907853126526, -2.0853123664855957, -0.6783461570739746
11, -1.0452398657798767, -2.0853123664855957, -0.7900785803794861
12, -1.3216404914855957, -2.0853118896484375, -0.8831391930580139
13, -1.5484769344329834, -2.0853123664855957, -0.9965333491563797
14, -1.7170312404632568, -2.08394193649292, -1.1259041503071785
15, -1.8208266496658325, -2.0853123664855957, -1.2662794925272465
16, 1.7921005487442017, -2.0853123664855957, -1.4122643619775772
17, 1.7570526599884033, -2.0853118896484375, -1.2662787809967995
18, 1.6532567739486694, -2.0853123664855957, -1.1259032636880875
19, 1.4847019910812378, -2.0853123664855957, -0.9965326189994812
20, 1.2578651905059814, -2.0853118896484375, -0.8831385374069214
21, 0.981464147567749, -2.0853118896484375, -0.7900783121585846
22, 0.32395270466804504, -2.0853118896484375, -0.6783460378646851
23, -0.01592840626835823, -2.0853123664855957, -1.3464637398719788
24, 0.3346278667449951, -2.0853118896484375, -0.656328558921814
25, 0.6870605945587158, -2.0853118896484375, -0.7001882195472717
26, 1.0118646621704102, -2.0853123664855957, -0.7714125216007233
27, 1.296557903289795, -2.0853123664855957, -0.8672645390033722
28, 1.530199646949768, -2.0853123664855957, -0.9840605854988098
29, 1.7038110494613647, -2.0853118896484375, -1.1173125728964806
30, -1.7675853967666626, -2.0853123664855957, -1.1173133105039597
31, -1.5939745903015137, -2.0853118896484375, -0.984061673283577
32, -1.36033296585083, -2.0853123664855957, -0.8672652244567871
33, -1.0756402015686035, -2.0853123664855957, -0.771413117647171
34, -0.7508367896080017, -2.0853123664855957, -0.700188398361206
35, -0.3984043300151825, -2.0853123664855957, -0.6563286185264587
36, -0.03188680112361908, -2.0853118896484375, -0.6415191292762756
37, -0.03188696689903736, -2.0853123664855957, -1.3464637398719788
38, -1.85488760471344, -2.0853118896484375, -1.4122650176286697
39, -1.85488760471344, -2.0853123664855957, -2.009440779685974
