Objects, 1
Object:, First Vertice:, Vertices:, First Triangle:, Triangles:
Circle.005, 1, 72, 1, 120, none

Vertices, 72
Vertice:, X:, Y:, Z:
1, 1.5744653418660164, 1.843552015721798, -2.910543918609619
2, 1.522389478981495, -0.16421961784362793, -2.8350428342819214
3, -1.5324792191386223, -0.15586137771606445, -2.834436535835266
4, -1.6202731654047966, 1.843552477657795, -2.9105440378189087
5, 1.3619281724095345, 1.1649035215377808, -3.6088638305664062
6, 1.2756418660283089, -3.2367396354675293, -3.2672324180603027
7, -1.3480893895030022, -3.2367396354675293, -3.2672324180603027
8, -1.4077359959483147, 1.1649043560028076, -3.6088638305664062
9, -0.8532261773943901, 2.159441351890564, -1.4441388249397278
10, 0.8074190691113472, 2.1594408750534058, -1.4441388323903084
11, 0.8074178770184517, 1.729108676314354, -1.4441387355327606
12, -0.8532269522547722, 1.7291091531515121, -1.4441387355327606
13, -1.683548979461193, 1.9451306983828545, -1.4441387727856636
14, 1.6377409175038338, 1.9451297484338284, -1.4441387802362442
15, -0.728678397834301, 1.9826988577842712, -0.6202259659767151
16, 0.682869978249073, 1.9826988577842712, -0.6202259659767151
17, -0.7909529134631157, 1.7799333706498146, -0.8148329854011536
18, 0.7451434805989265, 1.7799333706498146, -0.8148329854011536
19, 0.7451449111104012, 2.146185338497162, -0.8148330450057983
20, -0.7909520789980888, 2.146185338497162, -0.8148330450057983
21, 1.5131926015019417, 1.9826988354325294, -0.8148330450057983
22, -1.55900090187788, 1.9826988354325294, -0.8148330450057983
23, -0.8532260581851006, 2.091459184885025, -2.857749581336975
24, 0.8074188902974129, 2.0914586931467056, -2.857749581336975
25, 0.807418055832386, 1.5478592813014984, -2.8577492237091064
26, -0.8532268330454826, 1.5478592813014984, -2.8577492237091064
27, -1.6835488602519035, 1.8502930663526058, -2.857749581336975
28, 1.6377410367131233, 1.850293017923832, -2.8577492237091064
29, -0.022903526608160973, 2.159441351890564, -1.4441388249397278
30, -0.02290453225066358, 1.7478931993246078, -1.4441387355327606
31, -1.4759680554270744, 2.105863928794861, -1.4441388249397278
32, -1.4759686514735222, 1.7545107454061508, -1.4441387355327606
33, 1.4301609471440315, 2.1058629751205444, -1.4441388323903084
34, 1.430159755051136, 1.7545107454061508, -1.4441387355327606
35, -0.022904192506551624, 1.9826988577842712, -0.6202259659767151
36, -0.02290473609707533, 1.7799333706498146, -0.8148329854011536
37, -0.02290359455696489, 2.146185338497162, -0.8148330450057983
38, -0.7442472502589226, 1.8667110688984394, -0.6688777208328247
39, 0.6984380558133125, 1.8667110688984394, -0.6688777208328247
40, 0.6984390690922737, 2.0986856818199158, -0.6688777804374695
41, -0.7442465350031853, 2.0986856818199158, -0.6688777804374695
42, -0.8376576825976372, 2.1561273634433746, -1.0694629848003387
43, 0.7918505147099495, 2.1561273634433746, -1.0694629848003387
44, -0.8376585766673088, 1.76059952378273, -1.069462925195694
45, 0.7918492034077644, 1.7605990320444107, -1.069462925195694
46, 1.2433376982808113, 1.9826988503336906, -0.6688777208328247
47, 1.3211799338459969, 1.8600839860737324, -0.8148330450057983
48, -1.3669889494776726, 1.8600839860737324, -0.8148330450057983
49, -1.2891459986567497, 1.9826988503336906, -0.6688777208328247
50, -1.366988591849804, 2.105313718318939, -0.8148330450057983
51, 1.3211810067296028, 2.105313718318939, -0.8148330450057983
52, -1.6524119898676872, 1.9733070358633995, -1.0694629848003387
53, 1.6066038087010384, 1.973306082189083, -1.0694629848003387
54, -0.022903512168966245, 2.091459184885025, -2.857749581336975
55, -0.022904353884996453, 1.650772288441658, -2.8577492237091064
56, -1.4759679362177849, 2.031167834997177, -2.857749581336975
57, -1.475968413054943, 1.559833139181137, -2.8577492237091064
58, 1.4301607087254524, 2.0311669409275055, -2.857749581336975
59, 1.4301598742604256, 1.559833139181137, -2.8577492237091064
60, -0.022904600199467495, 1.8667110688984394, -0.6688777208328247
61, -0.022903771223866443, 2.0986856818199158, -0.6688777804374695
62, -0.02290355378767117, 2.1561268866062164, -1.0694629848003387
63, -0.022904681738054933, 1.7652958780527115, -1.0694629549980164
64, 1.1234025433659554, 2.0705789923667908, -0.7067180275917053
65, 1.1234019473195076, 1.8948187087662518, -0.7067179679870605
66, -1.1692107245326042, 1.8948187087662518, -0.7067179679870605
67, -1.169210247695446, 2.0705789923667908, -0.7067180275917053
68, -1.4487234875559807, 2.110422521829605, -1.0694629848003387
69, -1.4487238451838493, 1.838539496064186, -1.0694629549980164
70, 1.4029148295521736, 1.83853854611516, -1.0694629549980164
71, 1.4029159024357796, 2.1104215681552887, -1.0694629848003387
72, -0.005044857040047646, -0.23868060111999512, -2.9105437994003296

Triangles, 117
Triangle:, Side1:, Side2:, Side3:
1, 5, 8, 7
2, 5, 7, 6
3, 9, 23, 54
4, 9, 54, 29
5, 9, 29, 62
6, 9, 62, 42
7, 9, 42, 68
8, 9, 68, 31
9, 9, 31, 56
10, 9, 56, 23
11, 10, 43, 62
12, 10, 62, 29
13, 10, 29, 54
14, 10, 54, 24
15, 10, 24, 58
16, 10, 58, 33
17, 10, 33, 71
18, 10, 71, 43
19, 11, 45, 70
20, 11, 70, 34
21, 11, 34, 59
22, 11, 59, 25
23, 11, 25, 55
24, 11, 55, 30
25, 11, 30, 63
26, 11, 63, 45
27, 12, 44, 63
28, 12, 63, 30
29, 12, 30, 55
30, 12, 55, 26
31, 12, 26, 57
32, 12, 57, 32
33, 12, 32, 69
34, 12, 69, 44
35, 13, 27, 56
36, 13, 56, 31
37, 13, 31, 68
38, 13, 68, 52
39, 13, 52, 69
40, 13, 69, 32
41, 13, 32, 57
42, 13, 57, 27
43, 14, 28, 59
44, 14, 59, 34
45, 14, 34, 70
46, 14, 70, 53
47, 14, 53, 71
48, 14, 71, 33
49, 14, 33, 58
50, 14, 58, 28
51, 15, 35, 60
52, 15, 60, 38
53, 15, 38, 66
54, 15, 66, 49
55, 15, 49, 67
56, 15, 67, 41
57, 15, 41, 61
58, 15, 61, 35
59, 16, 46, 65
60, 16, 65, 39
61, 16, 39, 60
62, 16, 60, 35
63, 16, 35, 61
64, 16, 61, 40
65, 16, 40, 64
66, 16, 64, 46
67, 17, 36, 63
68, 17, 63, 44
69, 17, 44, 69
70, 17, 69, 48
71, 17, 48, 66
72, 17, 66, 38
73, 17, 38, 60
74, 17, 60, 36
75, 18, 47, 70
76, 18, 70, 45
77, 18, 45, 63
78, 18, 63, 36
79, 18, 36, 60
80, 18, 60, 39
81, 18, 39, 65
82, 18, 65, 47
83, 19, 37, 62
84, 19, 62, 43
