Objects, 1
Object:, First Vertice:, Vertices:, First Triangle:, Triangles:
Circle.001, 1, 129, 1, 256

Vertices, 129
Vertice:, X:, Y:, Z:
1, -0.02122187614440918, -2.0367350578308105, -1.1724109649658203
2, -0.08129215240478516, -2.037414789199829, -1.1664941310882568
3, -0.13905394077301025, -2.0380685329437256, -1.1489713191986084
4, -0.19228750467300415, -2.038670778274536, -1.1205153465270996
5, -0.23894715309143066, -2.039198875427246, -1.082220435142517
6, -0.27723968029022217, -2.0396323204040527, -1.0355578660964966
7, -0.3056936264038086, -2.039954423904419, -0.9823209047317505
8, -0.3232155442237854, -2.0401525497436523, -0.9245553016662598
9, -0.3291319012641907, -2.040219306945801, -0.8644812107086182
10, -0.3232155442237854, -2.0401525497436523, -0.8044072389602661
11, -0.30569368600845337, -2.03995418548584, -0.7466418743133545
12, -0.27723973989486694, -2.0396323204040527, -0.6934049129486084
13, -0.23894721269607544, -2.039198875427246, -0.6467421650886536
14, -0.19228756427764893, -2.0386710166931152, -0.6084471940994263
15, -0.13905394077301025, -2.0380685329437256, -0.5799914002418518
16, -0.08129221200942993, -2.037414789199829, -0.5624684691429138
17, -0.021221935749053955, -2.0367350578308105, -0.5565516352653503
18, 0.0388484001159668, -2.036055326461792, -0.5624684691429138
19, 0.0966101884841919, -2.0354018211364746, -0.5799915194511414
20, 0.14984369277954102, -2.034799337387085, -0.608447253704071
21, 0.1965034008026123, -2.034271240234375, -0.6467422246932983
22, 0.2347959280014038, -2.0338377952575684, -0.6934048533439636
23, 0.2632499933242798, -2.0335159301757812, -0.7466418743133545
24, 0.2807716131210327, -2.0333175659179688, -0.8044074773788452
25, 0.286687970161438, -2.0332508087158203, -0.8644815683364868
26, 0.2807716131210327, -2.033317804336548, -0.924555778503418
27, 0.26324963569641113, -2.0335159301757812, -0.9823212623596191
28, 0.2347956895828247, -2.0338380336761475, -1.0355581045150757
29, 0.19650304317474365, -2.034271240234375, -1.0822205543518066
30, 0.14984333515167236, -2.034799337387085, -1.1205157041549683
31, 0.09660983085632324, -2.0354015827178955, -1.1489713191986084
32, 0.038847923278808594, -2.036055326461792, -1.1664941310882568
33, 0.03844249248504639, -2.0002286434173584, -1.1664941310882568
34, 0.09620440006256104, -1.999574899673462, -1.1489713191986084
35, 0.14943790435791016, -1.9989725351333618, -1.1205157041549683
36, 0.19609761238098145, -1.9984445571899414, -1.0822207927703857
37, 0.2343902587890625, -1.9980111122131348, -1.0355581045150757
38, 0.2628442049026489, -1.997689127922058, -0.9823211431503296
39, 0.2803661823272705, -1.9974910020828247, -0.9245556592941284
40, 0.2862825393676758, -1.9974238872528076, -0.8644815683364868
41, 0.2803661823272705, -1.9974907636642456, -0.8044073581695557
42, 0.2628445625305176, -1.9976892471313477, -0.7466418743133545
43, 0.2343904972076416, -1.9980112314224243, -0.6934049725532532
44, 0.1960979700088501, -1.9984444379806519, -0.6467422246932983
45, 0.1494382619857788, -1.9989725351333618, -0.608447253704071
46, 0.09620475769042969, -1.999574899673462, -0.5799914598464966
47, 0.03844296932220459, -2.0002286434173584, -0.5624684691429138
48, -0.021627366542816162, -2.000908374786377, -0.5565516352653503
49, -0.08169764280319214, -2.0015881061553955, -0.5624684691429138
50, -0.13945937156677246, -2.002241611480713, -0.579991340637207
51, -0.19269299507141113, -2.0028440952301025, -0.6084471940994263
52, -0.23935264348983765, -2.0033721923828125, -0.6467421650886536
53, -0.2776451110839844, -2.00380539894104, -0.6934048533439636
54, -0.3060991168022156, -2.0041275024414062, -0.7466418743133545
55, -0.3236209750175476, -2.0043258666992188, -0.8044074773788452
56, -0.3295373320579529, -2.0043928623199463, -0.8644813299179077
57, -0.3236209750175476, -2.0043256282806396, -0.9245553016662598
58, -0.3060990571975708, -2.0041275024414062, -0.9823209047317505
59, -0.2776451110839844, -2.00380539894104, -1.0355578660964966
60, -0.2393525242805481, -2.0033721923828125, -1.082220435142517
61, -0.19269293546676636, -2.0028440952301025, -1.1205153465270996
62, -0.13945937156677246, -2.002241849899292, -1.1489713191986084
63, -0.08169752359390259, -2.0015881061553955, -1.1664941310882568
64, -0.021627306938171387, -2.000908374786377, -1.1724109649658203
65, -0.021627306938171387, -2.000908374786377, -1.1570144891738892
66, -0.07869410514831543, -2.001554012298584, -1.1513936519622803
67, -0.13356775045394897, -2.0021750926971436, -1.134746789932251
68, -0.18413960933685303, -2.0027472972869873, -1.1077138185501099
69, -0.22846633195877075, -2.003248929977417, -1.071333646774292
70, -0.2648441791534424, -2.0036606788635254, -1.0270038843154907
71, -0.2918754816055298, -2.0039665699005127, -0.9764289855957031
72, -0.3085212707519531, -2.004154920578003, -0.9215518236160278
73, -0.31414175033569336, -2.004218339920044, -0.8644813299179077
74, -0.3085212707519531, -2.004154682159424, -0.8074109554290771
75, -0.2918754816055298, -2.0039665699005127, -0.7525339126586914
76, -0.26484423875808716, -2.0036606788635254, -0.7019587159156799
77, -0.22846639156341553, -2.003248929977417, -0.6576291918754578
78, -0.1841396689414978, -2.0027472972869873, -0.6212488412857056
79, -0.13356781005859375, -2.0021750926971436, -0.5942159295082092
80, -0.07869410514831543, -2.001554012298584, -0.5775690078735352
81, -0.021627366542816162, -2.000908136367798, -0.5719480514526367
82, 0.035439372062683105, -2.000262498855591, -0.5775690674781799
83, 0.09031319618225098, -1.9996415376663208, -0.5942159295082092
84, 0.1408851146697998, -1.9990692138671875, -0.6212489008903503
85, 0.1852116584777832, -1.9985677003860474, -0.6576291918754578
86, 0.22158968448638916, -1.998155951499939, -0.7019587755203247
87, 0.24862074851989746, -1.9978501796722412, -0.7525339126586914
88, 0.2652665376663208, -1.9976617097854614, -0.8074111938476562
89, 0.27088701725006104, -1.9975981712341309, -0.8644816875457764
90, 0.2652665376663208, -1.997661828994751, -0.9215519428253174
91, 0.2486206293106079, -1.9978500604629517, -0.9764291048049927
92, 0.2215893268585205, -1.9981560707092285, -1.0270044803619385
93, 0.1852114200592041, -1.9985677003860474, -1.0713337659835815
94, 0.1408846378326416, -1.9990692138671875, -1.1077139377593994
95, 0.09031271934509277, -1.9996415376663208, -1.134746789932251
96, 0.03543901443481445, -2.000262498855591, -1.1513936519622803
97, 0.03572261333465576, -2.025320529937744, -1.1513937711715698
98, 0.09059631824493408, -2.0246994495391846, -1.134746789932251
99, 0.14116811752319336, -2.024127244949341, -1.1077139377593994
100, 0.18549489974975586, -2.023625612258911, -1.0713337659835815
101, 0.22187292575836182, -2.0232138633728027, -1.027004361152649
102, 0.24890410900115967, -2.0229079723358154, -0.9764291048049927
