Objects, 1
Object:, First Vertice:, Vertices:, First Triangle:, Triangles:
Plane.001, 1, 8, 1, 12

Vertices, 8
Vertice:, X:, Y:, Z:
1, -0.008546119555830956, -2.0830118395388126, -1.382718214765191
2, 0.012671497650444508, -2.157647091895342, -1.382718225941062
3, -0.04038431029766798, -2.157647106796503, -1.382718225941062
4, -0.019166942220181227, -2.083011843264103, -1.382718214765191
5, -0.019166942220181227, -2.0830118395388126, -1.3895536456257105
6, -0.04038431029766798, -2.157647106796503, -1.3895536568015814
7, 0.012671497650444508, -2.157647091895342, -1.3895536568015814
8, -0.008546119555830956, -2.0830118358135223, -1.3895536456257105

Triangles, 12
Triangle:, Side1:, Side2:, Side3:
1, 4, 1, 2
2, 4, 2, 3
3, 3, 2, 7
4, 3, 7, 6
5, 4, 3, 6
6, 4, 6, 5
7, 1, 4, 5
8, 1, 5, 8
9, 2, 1, 8
10, 2, 8, 7
11, 7, 8, 5
12, 7, 5, 6

Colors, 12
Triangle:, Red:, Green:, Blue:
1, 204, 204, 204
2, 204, 204, 204
3, 204, 204, 204
4, 204, 204, 204
5, 204, 204, 204
6, 204, 204, 204
7, 204, 204, 204
8, 204, 204, 204
9, 204, 204, 204
10, 204, 204, 204
11, 204, 204, 204
12, 204, 204, 204

Textures, 0
UV Map Id:, Texture Wrapping, Texture_Path

UVMaps, 0
Triangle:, UV Map Id:, vector1_uv_x, vector1_uv_y, vector2_uv_x, vector2_uv_y, vector3_uv_x, vector3_uv_x
