Objects, 1
Object:, First Vertice:, Vertices:, First Triangle:, Triangles:
Circle.012, 1, 8, 1, 12

Vertices, 8
Vertice:, X:, Y:, Z:
1, -0.1578724980354309, -5.223953535649343, -1.2235758155584335
2, -0.2891070321202278, -5.229560881387442, -1.077292077243328
3, 0.18884383887052536, -5.217850512359291, -0.9196257069706917
4, -0.15850210934877396, -5.217850517015904, -0.7787563353776932
5, 0.054132893681526184, -5.217850544024259, -1.223126694560051
6, -0.28887855261564255, -5.221578892087564, -0.9175526797771454
7, 0.04129263013601303, -5.221578877652064, -0.7740912437438965
8, 0.1892724558711052, -5.221578897675499, -1.0826501250267029

Triangles, 6
Triangle:, Side1:, Side2:, Side3:
1, 6, 4, 2
2, 1, 5, 2
3, 3, 7, 2
4, 8, 5, 2
5, 7, 4, 2
6, 3, 8, 2

Colors, 6
Triangle:, Red:, Green:, Blue:
1, 27, 34, 59
2, 27, 34, 59
3, 27, 34, 59
4, 27, 34, 59
5, 27, 34, 59
6, 27, 34, 59

Textures, 0
UV Map Id:, Texture Wrapping, Texture_Path

UVMaps, 0
Triangle:, UV Map Id:, vector1_uv_x, vector1_uv_y, vector2_uv_x, vector2_uv_y, vector3_uv_x, vector3_uv_x
