Objects, 1
Object:, First Vertice:, Vertices:, First Triangle:, Triangles:
Sphere.041, 1, 55, 1, 208

Vertices, 55
Vertice:, X:, Y:, Z:
1, 0.25480817817151546, -2.0389436818659306, -0.7496740303467959
2, 0.2519349902868271, -2.0389718739315867, -0.7351020406931639
3, 0.19921514578163624, -2.0334856575354934, -0.7615840043872595
4, 0.20820012409240007, -2.033611622173339, -0.7716017253696918
5, 0.2520853243768215, -2.0389744956046343, -0.7614167099818587
6, 0.21182527486234903, -2.0213426048867404, -0.7536341799423099
7, 0.24507633782923222, -2.0390538098290563, -0.7712232600897551
8, 0.23476127814501524, -2.0333107630722225, -0.7231828588992357
9, 0.23366039991378784, -2.0211330209858716, -0.7405780237168074
10, 0.2114557232707739, -2.0213842508383095, -0.744953166693449
11, 0.23180411476641893, -2.039199685677886, -0.7788206376135349
12, 0.22004196234047413, -2.02099404996261, -0.7603820525109768
13, 0.21071661077439785, -2.030364961596206, -0.7268974725157022
14, 0.2137445518746972, -2.039404049515724, -0.7781185880303383
15, 0.20140987448394299, -2.039547948166728, -0.7698463406413794
16, 0.21719478070735931, -2.030585806351155, -0.723976232111454
17, 0.20234845392405987, -2.0304444909561425, -0.7350971074774861
18, 0.23509594332426786, -2.0281393159530126, -0.7279575616121292
19, 0.19381310418248177, -2.0396295972168446, -0.7565734633244574
20, 0.1945126187056303, -2.0396267352625728, -0.7385120838880539
21, 0.20543966069817543, -2.028474966995418, -0.7635441794991493
22, 0.1984382253140211, -2.0310496888123453, -0.743420320097357
23, 0.20278683304786682, -2.039532366208732, -0.7261774279177189
24, 0.24703356437385082, -2.0303580404724926, -0.7370790764689445
25, 0.23101834440603852, -2.0305109152104706, -0.77338613756001
26, 0.20526815205812454, -2.024454929633066, -0.7504214993678033
27, 0.21605894435197115, -2.039377860724926, -0.718580162152648
28, 0.23090965626761317, -2.0392141193151474, -0.7186048906296492
29, 0.19866914860904217, -2.0305011139716953, -0.752471597166732
30, 0.2418947033584118, -2.039089810103178, -0.7235662844032049
31, 0.21795498253777623, -2.0220036604441702, -0.7348201479762793
32, 0.22914666030555964, -2.0191906532272696, -0.7514280979521573
33, 0.24369650706648827, -2.033209656365216, -0.7292953543365002
34, 0.24971465207636356, -2.030327898915857, -0.7468426891136914
35, 0.2485165037214756, -2.029937211656943, -0.7548453342169523
36, 0.2389753693714738, -2.0238335707690567, -0.7591176303103566
37, 0.22689310321584344, -2.030462079681456, -0.7234421037137508
38, 0.2276991493999958, -2.022293872665614, -0.7338295541703701
39, 0.2369341952726245, -2.0239541199989617, -0.735621752217412
40, 0.2194074117578566, -2.019178164191544, -0.7523301031906158
41, 0.23809991218149662, -2.030599173856899, -0.7703596949577332
42, 0.20934102032333612, -2.0244087502360344, -0.7604062939062715
43, 0.21878321235999465, -2.0193721503019333, -0.7446836354210973
44, 0.21848029922693968, -2.0332275722175837, -0.7757653072476387
45, 0.20836300775408745, -2.0242774072103202, -0.7383294701576233
46, 0.22136717522516847, -2.0304360205773264, -0.7736791130155325
47, 0.21554594300687313, -2.0262350789271295, -0.7683237884193659
48, 0.24527798779308796, -2.030519563006237, -0.7632982470095158
49, 0.22120947390794754, -2.0285101290792227, -0.7720889784395695
50, 0.2210803513880819, -2.0268932636245154, -0.7707899231463671
51, 0.23924932349473238, -2.022085144650191, -0.7477472216123715
52, 0.22875281982123852, -2.019048855639994, -0.7461709007620811
53, 0.2299502515234053, -2.021035867277533, -0.7608249271288514
54, 0.2044615838676691, -2.033653737511486, -0.7288676481693983
55, 0.229826879221946, -2.0205380343832076, -0.7589763915166259

Triangles, 104
Triangle:, Side1:, Side2:, Side3:
1, 1, 2, 20
2, 16, 13, 27
3, 5, 1, 20
4, 48, 35, 5
5, 7, 5, 20
6, 32, 38, 52
7, 11, 7, 20
8, 3, 4, 15
9, 37, 25, 16
10, 14, 11, 20
11, 29, 21, 3
12, 26, 42, 21
13, 15, 14, 20
14, 21, 47, 4
15, 19, 15, 20
16, 45, 17, 13
17, 16, 40, 31
18, 3, 15, 19
19, 51, 34, 35
20, 31, 45, 13
21, 35, 1, 5
22, 12, 50, 47
23, 27, 23, 20
24, 41, 7, 11
25, 31, 10, 45
26, 28, 27, 20
27, 4, 44, 14
28, 30, 28, 20
29, 17, 22, 20
30, 2, 30, 20
31, 6, 12, 42
32, 13, 17, 54
33, 45, 26, 22
34, 37, 16, 27
35, 33, 8, 30
36, 38, 9, 52
37, 47, 44, 4
38, 40, 6, 10
39, 36, 35, 48
40, 6, 42, 26
41, 32, 53, 25
42, 53, 55, 36
43, 55, 51, 36
44, 39, 38, 18
45, 50, 16, 46
46, 48, 5, 7
47, 22, 29, 19
48, 34, 1, 35
49, 38, 37, 18
50, 25, 46, 16
51, 29, 3, 19
52, 25, 41, 11
53, 32, 52, 51
54, 49, 46, 44
55, 10, 6, 26
56, 37, 32, 25
57, 41, 25, 53
58, 16, 50, 40
59, 18, 8, 33
