Objects, 1
Object:, First Vertice:, Vertices:, First Triangle:, Triangles:
Plane.017, 1, 8, 1, 12, none

Vertices, 8
Vertice:, X:, Y:, Z:
1, -1.3332473635673523, -2.00020256312564, -1.2967863730154932
2, -1.3332473635673523, -2.00020256312564, -1.2886697258800268
3, -1.0452652126550674, -2.003461482585408, -1.2886697598733008
4, -1.0452652126550674, -2.003461482701823, -1.2967864070087671
5, -1.0453298687934875, -2.0091751157306135, -1.2967864070087671
6, -1.0453298687934875, -2.0091751157306135, -1.2886697598733008
7, -1.3333120197057724, -2.005916196270846, -1.2886697258800268
8, -1.3333120346069336, -2.005916196270846, -1.2967863730154932

Triangles, 12
Triangle:, Side1:, Side2:, Side3:
1, 1, 4, 3
2, 1, 3, 2
3, 3, 4, 5
4, 3, 5, 6
5, 4, 1, 8
6, 4, 8, 5
7, 1, 2, 7
8, 1, 7, 8
9, 2, 3, 6
10, 2, 6, 7
11, 6, 5, 8
12, 6, 8, 7

Colors, 12
Triangle:, Red:, Green:, Blue:
1, 204, 204, 204
2, 204, 204, 204
3, 204, 204, 204
4, 204, 204, 204
5, 204, 204, 204
6, 204, 204, 204
7, 204, 204, 204
8, 204, 204, 204
9, 204, 204, 204
10, 204, 204, 204
11, 204, 204, 204
12, 204, 204, 204

Textures, 0
UV Map Id:, Texture Wrapping, Texture_Path

UVMaps, 0
Triangle:, UV Map Id:, vector1_uv_x, vector1_uv_y, vector2_uv_x, vector2_uv_y, vector3_uv_x, vector3_uv_x
