Objects, 1
Object:, First Vertice:, Vertices:, First Triangle:, Triangles:
Plane.011, 1, 8, 1, 12, none

Vertices, 8
Vertice:, X:, Y:, Z:
1, -0.6875135600566864, -2.00213885307312, -1.1567918062210083
2, -0.6875135600566864, -2.00213885307312, -1.149486780166626
3, -0.42832961678504944, -2.005071759223938, -1.149486780166626
4, -0.4283296763896942, -2.005071759223938, -1.1567916870117188
5, -0.4283878654241562, -2.01021409034729, -1.1567916870117188
6, -0.4283878058195114, -2.01021409034729, -1.149486780166626
7, -0.6875717639923096, -2.007281184196472, -1.149486780166626
8, -0.6875717341899872, -2.007281184196472, -1.1567918062210083

Triangles, 12
Triangle:, Side1:, Side2:, Side3:
1, 1, 4, 3
2, 1, 3, 2
3, 3, 4, 5
4, 3, 5, 6
5, 4, 1, 8
6, 4, 8, 5
7, 1, 2, 7
8, 1, 7, 8
9, 2, 3, 6
10, 2, 6, 7
11, 6, 5, 8
12, 6, 8, 7

Colors, 12
Triangle:, Red:, Green:, Blue:
1, 204, 204, 204
2, 204, 204, 204
3, 204, 204, 204
4, 204, 204, 204
5, 204, 204, 204
6, 204, 204, 204
7, 204, 204, 204
8, 204, 204, 204
9, 204, 204, 204
10, 204, 204, 204
11, 204, 204, 204
12, 204, 204, 204

Textures, 0
UV Map Id:, Texture Wrapping, Texture_Path

UVMaps, 0
Triangle:, UV Map Id:, vector1_uv_x, vector1_uv_y, vector2_uv_x, vector2_uv_y, vector3_uv_x, vector3_uv_x
