Objects, 1
Object:, First Vertice:, Vertices:, First Triangle:, Triangles:
Circle.005, 1, 63, 1, 112

Vertices, 63
Vertice:, X:, Y:, Z:
1, -0.8532261773943901, 2.129997730255127, -1.4441388323903084
2, 0.8074190691113472, 2.1299972534179688, -1.4441388249397278
3, 0.8074178770184517, 1.738943561911583, -1.44413872808218
4, -0.8532269522547722, 1.7389440387487411, -1.44413872808218
5, -1.683548979461193, 1.9156870748847723, -1.444138765335083
6, 1.6377409175038338, 1.915686121210456, -1.444138765335083
7, -0.728678397834301, 1.9532552426680923, -0.6202259659767151
8, 0.682869978249073, 1.9532552426680923, -0.6202259659767151
9, -0.7909529134631157, 1.7897682636976242, -0.8148329854011536
10, 0.7451434805989265, 1.7897682636976242, -0.8148329854011536
11, 0.7451449111104012, 2.1167417019605637, -0.8148330450057983
12, -0.7909520789980888, 2.1167417019605637, -0.8148330450057983
13, 1.5131926015019417, 1.9532552203163505, -0.8148330450057983
14, -1.55900090187788, 1.9532552203163505, -0.8148330450057983
15, -0.8532260581851006, 2.12999764084816, -2.857749581336975
16, 0.8074188902974129, 2.1299971491098404, -2.857749581336975
17, 0.807418055832386, 1.7120889127254486, -2.8577492237091064
18, -0.8532268330454826, 1.7120889127254486, -2.8577492237091064
19, -1.6835488602519035, 1.8888315223157406, -2.857749581336975
20, 1.6377410367131233, 1.8888314738869667, -2.8577492237091064
21, -0.022903526608160973, 2.129997730255127, -1.4441388323903084
22, -0.02290453225066358, 1.7577280849218369, -1.4441387355327606
23, -1.4759680554270744, 2.076420307159424, -1.4441388174891472
24, -1.4759686514735222, 1.7643456310033798, -1.4441387355327606
25, 1.4301609471440315, 2.0764193534851074, -1.4441388249397278
26, 1.430159755051136, 1.7643456310033798, -1.4441387355327606
27, -0.022904192506551624, 1.9532552426680923, -0.6202259659767151
28, -0.02290473609707533, 1.7897682636976242, -0.8148329854011536
29, -0.02290359455696489, 2.1167417019605637, -0.8148330450057983
30, -0.7442472502589226, 1.8372674509882927, -0.6688777208328247
31, 0.6984380558133125, 1.8372674509882927, -0.6688777208328247
32, 0.6984390690922737, 2.0692420601844788, -0.6688777804374695
33, -0.7442465350031853, 2.0692420601844788, -0.6688777804374695
34, -0.8376576825976372, 2.1266837418079376, -1.0694629848003387
35, 0.7918505147099495, 2.1266837418079376, -1.0694629848003387
36, -0.8376585766673088, 1.7704343795776367, -1.069462925195694
37, 0.7918492034077644, 1.7704339176416397, -1.069462925195694
38, 1.2433376982808113, 1.9532552370801568, -0.6688777804374695
39, 1.3211799338459969, 1.8306403532624245, -0.8148329854011536
40, -1.3669889494776726, 1.8306403532624245, -0.8148329854011536
41, -1.2891459986567497, 1.9532552370801568, -0.6688777804374695
42, -1.366988591849804, 2.075870096683502, -0.8148330450057983
43, 1.3211810067296028, 2.075870096683502, -0.8148330450057983
44, -1.6524119898676872, 1.943863418418914, -1.0694629848003387
45, 1.6066038087010384, 1.943862457294017, -1.0694629549980164
46, -0.022903512168966245, 2.12999764084816, -2.857749581336975
47, -0.022904353884996453, 1.7443007230758667, -2.857749342918396
