Objects, 1
Object:, First Vertice:, Vertices:, First Triangle:, Triangles:
Circle.006, 1, 8, 1, 12, none

Vertices, 8
Vertice:, X:, Y:, Z:
1, 10.497907407581806, -1.8896459937095642, -0.7781437933444977
2, 10.49790745228529, -1.6562488675117493, -0.9028970897197723
3, 10.49564897455275, -1.4032042622566223, -0.9874037802219391
4, 10.495649017393589, -1.139832346700132, -1.013343721628189
5, 10.497907577082515, -0.8762543499469757, -0.9797199070453644
6, 10.497907608747482, -0.6230037212371826, -0.9028972089290619
7, 10.49790763296187, -0.3896062970161438, -0.7781437933444977
8, 10.495648903772235, -1.1398326631169766, 0.33665627241134644

Triangles, 6
Triangle:, Side1:, Side2:, Side3:
1, 6, 8, 7
2, 5, 8, 6
3, 4, 8, 5
4, 3, 8, 4
5, 2, 8, 3
6, 1, 8, 2

Colors, 6
Triangle:, Red:, Green:, Blue:
1, 100, 96, 132
2, 100, 96, 132
3, 100, 96, 132
4, 100, 96, 132
5, 100, 96, 132
6, 100, 96, 132

Textures, 1
UV Map Id:, Texture Wrapping, Texture_Path
0, 1, data/textures/airspeed.png

UVMaps, 6
Triangle:, UV Map Id:, vector1_uv_x, vector1_uv_y, vector2_uv_x, vector2_uv_y, vector3_uv_x, vector3_uv_x
1, 0, 0.11752844, 0.38939369, 0.56690317, 0.84469855, -0.00447392, 0.56631899
2, 0, 0.26747796, 0.27989972, 0.56690317, 0.84469855, 0.11752844, 0.38939369
3, 0, 0.44509664, 0.21290541, 0.56690317, 0.84469855, 0.26747796, 0.27989972
4, 0, 0.64929020, 0.21333985, 0.56690317, 0.84469855, 0.44509664, 0.21290541
5, 0, 0.83964944, 0.26954216, 0.56690317, 0.84469855, 0.64929020, 0.21333985
6, 0, 1.00558317, 0.38369122, 0.56690317, 0.84469855, 0.83964944, 0.26954216
