Objects, 1
Object:, First Vertice:, Vertices:, First Triangle:, Triangles:
Circle.015, 1, 19, 1, 36

Vertices, 19
Vertice:, X:, Y:, Z:
1, -0.7298965454101562, -2.210433006286621, -0.7209287285804749
2, 0.6661204695701599, -2.210433006286621, -0.7209281623363495
3, 1.7570526599884033, -2.2104334831237793, -1.2662787474691868
4, 1.7921005487442017, -2.2095580101013184, -1.4122642278671265
5, -1.855873942375183, -2.2095093727111816, -1.4122650474309921
6, -1.8208266496658325, -2.2098708152770996, -1.2662795037031174
7, 1.7921005487442017, -2.2104334831237793, -3.650476574897766
8, -1.8558740615844727, -2.2099709510803223, -3.6504772901535034
9, -1.8558740615844727, -2.2095093727111816, -2.0094407200813293
10, 1.7921005487442017, -2.2095580101013184, -2.0094399452209473
11, 0.5155407786369324, -5.141278266906738, -3.0558472871780396
12, -0.579062283039093, -5.141253471374512, -3.0576295852661133
13, 0.8811084032058716, -5.226950645446777, -2.3130054473876953
14, -0.942993700504303, -5.227993011474609, -2.3130061626434326
15, -0.9446390867233276, -5.229177474975586, -1.412264958024025
16, 0.8808655738830566, -5.229704856872559, -1.4122641384601593
17, 0.3033897578716278, -5.229813575744629, -1.024493783712387
18, -0.39940857887268066, -5.229806900024414, -1.0244940370321274
19, -0.03564987704157829, -5.343364715576172, -1.4087996631860733

Triangles, 26
Triangle:, Side1:, Side2:, Side3:
1, 16, 4, 3
2, 13, 11, 7
3, 13, 7, 10
4, 15, 6, 5
5, 6, 1, 18
6, 6, 18, 15
7, 2, 1, 18
8, 2, 18, 17
9, 17, 16, 3
10, 17, 3, 2
11, 8, 7, 11
12, 8, 11, 12
13, 9, 8, 12
14, 9, 12, 14
15, 5, 9, 14
16, 5, 14, 15
17, 4, 10, 13
18, 4, 13, 16
19, 17, 19, 18
20, 17, 19, 16
21, 18, 19, 15
22, 13, 19, 16
23, 14, 19, 15
24, 12, 19, 14
25, 13, 19, 11
26, 11, 19, 12

Colors, 26
Triangle:, Red:, Green:, Blue:
1, 1, 1, 1
2, 17, 91, 19
3, 17, 91, 19
4, 1, 1, 1
5, 1, 1, 1
6, 1, 1, 1
7, 1, 1, 1
8, 1, 1, 1
9, 1, 1, 1
10, 1, 1, 1
11, 17, 91, 19
12, 17, 91, 19
13, 17, 91, 19
14, 17, 91, 19
15, 17, 91, 19
16, 17, 91, 19
17, 17, 91, 19
18, 17, 91, 19
19, 1, 1, 1
20, 1, 1, 1
21, 1, 1, 1
22, 1, 1, 1
23, 1, 1, 1
24, 1, 1, 1
25, 1, 1, 1
26, 1, 1, 1

Textures, 3
UV Map Id:, Texture Wrapping, Texture_Path
0, 1, data/textures/cockpit/wood.png
1, 1, data/textures/stripes.png
2, 0, data/textures/ie_flag.png

UVMaps, 0
Triangle:, UV Map Id:, vector1_uv_x, vector1_uv_y, vector2_uv_x, vector2_uv_y, vector3_uv_x, vector3_uv_x
