Objects, 1
Object:, First Vertice:, Vertices:, First Triangle:, Triangles:
Circle.012, 1, 19, 1, 32

Vertices, 19
Vertice:, X:, Y:, Z:
1, -0.1578724980354309, -5.360112478825613, -1.2235758155584335
2, -0.2891070321202278, -5.365719824563712, -1.077292077243328
3, 0.18884383887052536, -5.354009455535561, -0.9196257069706917
4, -0.15850210934877396, -5.354009460192174, -0.7787563353776932
5, 0.054132893681526184, -5.354009487200528, -1.223126694560051
6, -0.28887855261564255, -5.357737835263833, -0.9175526797771454
7, 0.04129263013601303, -5.3577378208283335, -0.7740912437438965
8, 0.1892724558711052, -5.357737840851769, -1.0826501250267029
9, -0.0469869523330928, -6.023242831230164, -1.0080841878413054
10, -0.293334998190403, -5.818772047758102, -1.0570857003331184
11, -0.2790415659546852, -5.81877201795578, -0.9119637832045555
12, -0.20598628371953964, -5.820527672767639, -0.8143424540758133
13, 0.07125900685787201, -5.815043687820435, -0.7868616133928299
14, -0.07157385163009167, -5.815043717622757, -1.2577181160449982
15, -0.22459406405687332, -5.818772047758102, -1.1856911480426788
16, 0.18506773561239243, -5.81877201795578, -0.9119640216231346
17, 0.0925578847527504, -5.818772047758102, -1.2169280499219894
18, -0.0959884487092495, -5.81877201795578, -0.7617362588644028
19, 0.19305358082056046, -5.815043687820435, -1.0808997601270676

Triangles, 16
Triangle:, Side1:, Side2:, Side3:
1, 6, 4, 2
2, 1, 5, 2
3, 3, 7, 2
4, 8, 5, 2
5, 7, 4, 2
6, 3, 8, 2
7, 13, 9, 18
8, 14, 9, 17
9, 18, 9, 12
10, 19, 9, 16
11, 12, 9, 11
12, 16, 9, 13
13, 10, 9, 15
14, 10, 9, 11
15, 17, 9, 19
16, 15, 9, 14

Colors, 16
Triangle:, Red:, Green:, Blue:
1, 27, 34, 59
2, 27, 34, 59
3, 27, 34, 59
4, 27, 34, 59
5, 27, 34, 59
6, 27, 34, 59
7, 27, 34, 59
8, 27, 34, 59
9, 27, 34, 59
10, 27, 34, 59
11, 27, 34, 59
12, 27, 34, 59
13, 27, 34, 59
14, 27, 34, 59
15, 27, 34, 59
16, 27, 34, 59

Textures, 0
UV Map Id:, Texture Wrapping, Texture_Path

UVMaps, 0
Triangle:, UV Map Id:, vector1_uv_x, vector1_uv_y, vector2_uv_x, vector2_uv_y, vector3_uv_x, vector3_uv_x
