Objects, 1
Object:, First Vertice:, Vertices:, First Triangle:, Triangles:
Plane.004, 1, 8, 1, 12

Vertices, 8
Vertice:, X:, Y:, Z:
1, 0.6138889789581299, -2.013258457183838, -1.309217244386673
2, 0.6061139106750488, -2.013258218765259, -1.309217244386673
3, 0.6061138808727264, -2.0163800716400146, -1.0333544313907623
4, 0.6138889491558075, -2.0163800716400146, -1.0333544313907623
5, 0.6138889789581299, -2.021852970123291, -1.0334164202213287
6, 0.6061139106750488, -2.021852970123291, -1.0334164202213287
7, 0.6061138808727264, -2.0187313556671143, -1.3092792332172394
8, 0.6138889491558075, -2.0187313556671143, -1.3092792332172394

Triangles, 12
Triangle:, Side1:, Side2:, Side3:
1, 1, 4, 3
2, 1, 3, 2
3, 3, 4, 5
4, 3, 5, 6
5, 4, 1, 8
6, 4, 8, 5
7, 1, 2, 7
8, 1, 7, 8
9, 2, 3, 6
10, 2, 6, 7
11, 6, 5, 8
12, 6, 8, 7

Colors, 12
Triangle:, Red:, Green:, Blue:
1, 204, 204, 204
2, 204, 204, 204
3, 204, 204, 204
4, 204, 204, 204
5, 204, 204, 204
6, 204, 204, 204
7, 204, 204, 204
8, 204, 204, 204
9, 204, 204, 204
10, 204, 204, 204
11, 204, 204, 204
12, 204, 204, 204

Textures, 0
UV Map Id:, Texture Wrapping, Texture_Path

UVMaps, 0
Triangle:, UV Map Id:, vector1_uv_x, vector1_uv_y, vector2_uv_x, vector2_uv_y, vector3_uv_x, vector3_uv_x
