Objects, 1
Object:, First Vertice:, Vertices:, First Triangle:, Triangles:
Sphere.036, 1, 53, 1, 200

Vertices, 53
Vertice:, X:, Y:, Z:
1, -0.8622595071792603, -2.03654682636261, -1.2291035652160645
2, -0.9031665921211243, -2.0286567211151123, -1.2304457426071167
3, -0.8962804079055786, -2.031500816345215, -1.267307162284851
4, -0.9063201546669006, -2.0284550189971924, -1.2360098361968994
5, -0.8580015897750854, -2.0366597175598145, -1.2390813827514648
6, -0.9098453521728516, -2.0314048528671265, -1.2407498359680176
7, -0.8816843628883362, -2.0203359127044678, -1.25542414188385
8, -0.8880259990692139, -2.0265625715255737, -1.223840594291687
9, -0.8583738803863525, -2.036811590194702, -1.2528395652770996
10, -0.8653440475463867, -2.0369445085525513, -1.2642440795898438
11, -0.8936656713485718, -2.020207166671753, -1.252598762512207
12, -0.882308840751648, -2.020354986190796, -1.2338017225265503
13, -0.8908475637435913, -2.0311758518218994, -1.2205276489257812
14, -0.8769912719726562, -2.037023663520813, -1.2715785503387451
15, -0.8903477787971497, -2.0370336771011353, -1.2721192836761475
16, -0.9014921188354492, -2.0287376642227173, -1.2609890699386597
17, -0.9080459475517273, -2.02855908870697, -1.246411681175232
18, -0.8844331502914429, -2.0317341089248657, -1.269812822341919
19, -0.9029169082641602, -2.036966323852539, -1.2665103673934937
20, -0.9064714908599854, -2.029155969619751, -1.2545331716537476
21, -0.8901115655899048, -2.025052309036255, -1.2635433673858643
22, -0.911998450756073, -2.0368136167526245, -1.2530156373977661
23, -0.9125393033027649, -2.0366662740707397, -1.2396602630615234
24, -0.8745266795158386, -2.028684139251709, -1.2241179943084717
25, -0.8668814301490784, -2.0290534496307373, -1.2590025663375854
26, -0.8977367877960205, -2.023306965827942, -1.256019949913025
27, -0.906930148601532, -2.0365201234817505, -1.227091908454895
28, -0.896125853061676, -2.0364350080490112, -1.2192226648330688
29, -0.8811085224151611, -2.0311723947525024, -1.220223307609558
30, -0.88550865650177, -2.0364110469818115, -1.2169924974441528
31, -0.8967849016189575, -2.0210256576538086, -1.2379564046859741
32, -0.8720864653587341, -2.036440372467041, -1.2200422286987305
33, -0.8798097968101501, -2.018677234649658, -1.2440903186798096
34, -0.8618787527084351, -2.029037833213806, -1.2440993785858154
35, -0.8640102744102478, -2.028457522392273, -1.2362401485443115
36, -0.8686231374740601, -2.0229599475860596, -1.244437336921692
37, -0.8964030742645264, -2.0285816192626953, -1.2249069213867188
38, -0.89023357629776, -2.0213193893432617, -1.2320599555969238
39, -0.8825855851173401, -2.0228668451309204, -1.228450059890747
40, -0.8864069581031799, -2.0186328887939453, -1.2499186992645264
41, -0.8633443713188171, -2.02913761138916, -1.2530419826507568
42, -0.8753179311752319, -2.019954800605774, -1.249207615852356
43, -0.8909229040145874, -2.018742084503174, -1.2446937561035156
44, -0.874750018119812, -2.0314658880233765, -1.2673795223236084
45, -0.9019086360931396, -2.02306067943573, -1.2455912828445435
46, -0.8737372159957886, -2.028948187828064, -1.2643418312072754
47, -0.8807762861251831, -2.0250991582870483, -1.26356041431427
48, -0.8828869462013245, -2.0185049772262573, -1.2404804229736328
49, -0.8746805787086487, -2.0272011756896973, -1.2632782459259033
50, -0.875450849533081, -2.025735020637512, -1.2624099254608154
51, -0.8744484782218933, -2.021294116973877, -1.2360379695892334
52, -0.8673930168151855, -2.0287485122680664, -1.229787826538086
53, -0.8742507100105286, -2.0204185247421265, -1.2504831552505493

Triangles, 100
Triangle:, Side1:, Side2:, Side3:
1, 1, 32, 30
2, 16, 21, 3
3, 5, 1, 30
4, 34, 35, 5
5, 9, 5, 30
6, 25, 9, 10
7, 12, 38, 39
8, 10, 9, 30
9, 3, 18, 15
10, 14, 10, 30
11, 33, 38, 48
12, 36, 51, 35
13, 15, 14, 30
14, 18, 44, 14
15, 19, 15, 30
16, 2, 4, 27
17, 2, 40, 31
18, 22, 19, 30
19, 25, 41, 9
20, 35, 1, 5
21, 23, 22, 30
22, 7, 50, 47
23, 27, 23, 30
24, 44, 25, 10
25, 31, 11, 45
26, 28, 27, 30
27, 11, 7, 21
28, 51, 52, 35
29, 31, 45, 4
30, 17, 20, 22
31, 4, 17, 6
32, 21, 47, 18
33, 45, 26, 20
34, 37, 2, 27
35, 29, 13, 30
36, 38, 12, 48
37, 47, 44, 18
38, 44, 10, 14
39, 36, 35, 34
40, 45, 17, 4
41, 33, 53, 25
42, 53, 42, 36
43, 42, 51, 36
44, 39, 38, 8
45, 50, 2, 46
46, 34, 5, 9
47, 20, 16, 19
48, 52, 1, 35
49, 38, 37, 8
50, 25, 46, 2
51, 16, 3, 19
52, 6, 22, 23
53, 33, 48, 51
54, 49, 46, 44
55, 3, 15, 19
56, 37, 33, 25
57, 41, 25, 53
58, 7, 47, 21
59, 8, 13, 29
60, 50, 7, 40
61, 40, 43, 31
62, 36, 34, 41
63, 47, 50, 49
64, 2, 50, 40
65, 13, 28, 30
66, 37, 25, 2
67, 33, 51, 42
68, 13, 37, 28
69, 8, 37, 13
70, 45, 20, 17
71, 32, 1, 52
72, 32, 52, 24
73, 41, 34, 9
74, 11, 21, 26
75, 18, 14, 15
76, 43, 11, 31
77, 51, 39, 24
78, 51, 24, 52
79, 51, 12, 39
80, 53, 36, 41
81, 11, 26, 45
82, 48, 12, 51
83, 43, 40, 11
84, 6, 17, 22
85, 26, 16, 20
86, 40, 7, 11
87, 44, 46, 25
88, 20, 19, 22
89, 4, 2, 31
90, 21, 18, 3
91, 24, 29, 32
92, 26, 21, 16
93, 37, 27, 28
94, 29, 30, 32
95, 24, 8, 29
96, 47, 49, 44
97, 4, 6, 23
98, 39, 8, 24
99, 33, 37, 38
100, 4, 23, 27

Colors, 100
Triangle:, Red:, Green:, Blue:
1, 58, 1, 2
2, 58, 1, 2
3, 58, 1, 2
4, 58, 1, 2
5, 58, 1, 2
6, 58, 1, 2
7, 58, 1, 2
8, 58, 1, 2
9, 58, 1, 2
10, 58, 1, 2
11, 58, 1, 2
12, 58, 1, 2
13, 58, 1, 2
14, 58, 1, 2
15, 58, 1, 2
16, 58, 1, 2
17, 58, 1, 2
18, 58, 1, 2
19, 58, 1, 2
20, 58, 1, 2
21, 58, 1, 2
22, 58, 1, 2
23, 58, 1, 2
24, 58, 1, 2
25, 58, 1, 2
26, 58, 1, 2
27, 58, 1, 2
28, 58, 1, 2
29, 58, 1, 2
30, 58, 1, 2
31, 58, 1, 2
32, 58, 1, 2
33, 58, 1, 2
34, 58, 1, 2
35, 58, 1, 2
36, 58, 1, 2
37, 58, 1, 2
38, 58, 1, 2
39, 58, 1, 2
40, 58, 1, 2
41, 58, 1, 2
42, 58, 1, 2
43, 58, 1, 2
44, 58, 1, 2
45, 58, 1, 2
46, 58, 1, 2
47, 58, 1, 2
48, 58, 1, 2
49, 58, 1, 2
50, 58, 1, 2
51, 58, 1, 2
52, 58, 1, 2
53, 58, 1, 2
54, 58, 1, 2
55, 58, 1, 2
56, 58, 1, 2
57, 58, 1, 2
58, 58, 1, 2
59, 58, 1, 2
60, 58, 1, 2
61, 58, 1, 2
62, 58, 1, 2
63, 58, 1, 2
64, 58, 1, 2
65, 58, 1, 2
66, 58, 1, 2
67, 58, 1, 2
68, 58, 1, 2
69, 58, 1, 2
70, 58, 1, 2
71, 58, 1, 2
72, 58, 1, 2
73, 58, 1, 2
74, 58, 1, 2
75, 58, 1, 2
76, 58, 1, 2
77, 58, 1, 2
78, 58, 1, 2
79, 58, 1, 2
80, 58, 1, 2
81, 58, 1, 2
82, 58, 1, 2
83, 58, 1, 2
